,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22,principal component 23,principal component 24,principal component 25,principal component 26,principal component 27,principal component 28,principal component 29,principal component 30,principal component 31,principal component 32,principal component 33,principal component 34,principal component 35,principal component 36
2,-82.11397286048938,1.8970801681352265,-18.408591271338622,9.949248923580202,-10.279806422150697,7.95959387811662,-6.02906815717748,16.302747156075597,1.0531984875968348,-32.83110261528266,33.2913838894853,43.22434346762113,-46.67314858385215,-14.619744292601615,-9.82196250677927,-18.052701861231885,-14.482655943335207,30.672015888108433,3.816719676583676,-28.303431517539412,-11.570487386931738,23.065221275204106,-0.2594209275464062,-9.74623523058142,-14.085837225846907,-2.867804207867626,10.450153000793568,10.764686970685936,6.777049878755295,-5.648285410554465,-14.165672702164287,5.4223338111651085,2.5112731273956372,-19.123876126787525,-3.8599014127553746,11.50316656694986
4,61.57553293982826,-90.27079802221046,-64.38866800786744,23.406681823790798,-11.547822308096274,45.41266042880638,-47.92103687988084,-10.879809329438624,14.230355962442815,-3.43112215866592,-2.93607598508648,6.094810610764543,-33.47845897735402,-16.101613592620375,-0.8185497113363981,-25.165290372609523,17.60232106329791,-0.009780400874724302,46.33578378479959,5.070870070125459,12.781609516355859,0.39353570169368246,28.547362002306016,14.470747280218632,5.529924329489316,-3.6444583586165122,-5.951310826344717,-14.773113879941166,-8.54685676602364,-18.540866108424904,7.150301019194188,3.4805200750652077,-8.794142654337916,-11.532617995171652,0.36509256537688417,-0.2735708661962938
5,114.15097255545335,8.46274394222005,-4.617677653489581,-35.62097670375376,-3.976851817042591,39.557694054546786,16.186531104936996,-13.41825912288985,34.183338049235445,-46.59955504765392,-11.940515506362493,25.07360066209019,1.1228997397506848,-13.496827005573115,-5.816719251441281,-21.28374279796269,-11.026317635045444,1.5931893352551054,-22.3726851749654,-13.09639217932034,17.865303731375,-15.189176220426576,-13.060869293049107,8.932426713152287,-16.98369903209611,12.018878177298527,-3.4488326884759886,-6.889203924354488,-3.3307406573213845,-12.424651307270421,-8.430792274541833,6.800353901546447,-7.223848825622662,21.392817417613333,6.8790557756274024,-4.272382004073222
7,-37.17936464530449,19.759559373885157,-65.11457222441116,-33.95208682930901,27.48740004668073,19.447987696893783,40.10775547600743,-26.868559188773173,4.37529746174371,-4.239433107999888,8.707723884022657,-3.4095961433150195,-7.332342870467974,22.886129484161163,-27.537448647776962,6.957490458282128,-31.42912131515881,12.840885891608417,-20.347149695337553,-2.6244112729027513,0.1879083796453107,-14.834250992000653,5.37461297147102,-15.931877616210445,8.89037382238103,-2.111534063725723,7.165768790537504,7.867260525832442,11.634649684836964,1.310788324431557,-2.1796484192717234,8.000510314829695,20.727822682139166,-14.705777083558285,10.943683393427609,0.12418608804106712
8,-77.18240856624331,-26.800295603457382,-20.088801614446844,-67.77238136375539,30.86000078907102,-47.77175901024558,-43.23324372456998,-21.90462184687162,-25.121650900585596,-46.15196544317434,7.152272035987336,-13.72456335800137,-0.4005128330110021,-17.230895863683838,10.963432566222787,7.773600906714035,-23.59953221695946,5.500386697089493,-15.740180761454877,-8.328173991784968,12.021892957761501,15.272570876513583,-0.016775541559873264,9.890042555161097,1.7602932613758249,8.672180008824625,12.066195958136895,10.941264622731909,3.2287962447381284,6.964986258498142,-21.250690070096685,0.2845025408117896,-15.596611124732492,9.478485276765412,8.336386035487468,3.280114037880358
12,-122.79042552271127,-39.72470741062665,-13.349512234459125,-36.30053125032212,36.62384923219491,-12.394826572879033,-25.38527848943532,29.024347253748875,44.28176114565221,29.750003211939777,-19.206463651625867,-18.63768779208831,-2.8943208703491456,11.986082296466776,6.6383211103089215,-15.442835207109805,-3.992135169948885,4.908957163454376,-6.920174587529465,22.107682254453756,27.026992419010785,9.768235374627794,-5.2928460470113405,17.2475305827476,8.147654773906547,1.1366026788585093,-8.763975874034479,12.196817977136552,5.419599249502977,-12.870164861686751,-6.445859656756139,-8.041167586623578,-10.971704418360824,-14.912889217991555,8.53441137306667,-1.5903427035829825
13,-62.34137688848382,-31.438646147756756,1.7722735226631967,-46.085587962816945,33.2331228913192,1.7243348481646408,-9.796400578444025,26.758993878054767,-2.7480333502982313,-8.57411628711052,-18.291453022386076,-22.82056740876589,-18.085832092080896,24.558117113769637,-13.466699867168277,41.95005773022995,-7.6485884611825785,-21.65151152288857,-4.376678891825639,12.052942777551266,16.468196437450274,-3.071544838181199,7.486510517732517,5.460677124517082,-7.523031342342551,-14.70503441579092,-15.332164880839965,-18.995736414141458,13.930817379469406,18.10786148658208,-4.126100378211273,-8.608219064495414,0.24858409238759177,13.424101631796379,-2.2186781038461967,1.1075343062081695
15,-55.61077778292379,5.8547200418553516,-2.151921109820533,59.617913463279635,24.451950719993807,3.5148272677156087,-27.134174987150214,13.174537231760848,26.29699418851327,14.014249771353734,-43.646959365026326,14.818919520152882,20.824519455445206,17.294468897917582,14.437415469421545,-7.629628533096541,-34.72594423907991,-20.525625596274875,-4.51478302263735,-18.21304000224912,-0.1952528637102383,-31.590014910973782,-14.934429656419608,-4.880786553756677,-3.962043354163432,-1.3984367054742706,-2.1811075331033045,-14.29625897040256,-9.305827595875089,0.6196298186919887,-7.016842804823747,-5.242003074778027,-10.858490812009467,-13.498930284708244,-12.321986675239668,-14.179309042188812
16,-35.632462190654266,-11.882276214249895,-15.199514885602813,88.89431426406756,27.21937748535902,-22.756780388834812,-0.41079148979907276,-7.7749703911901635,5.517800683433086,35.714918373617586,-43.47081871075151,0.669975233171727,5.079434005387522,-24.890997981795827,-4.640342209131409,34.06686566536893,13.530473302776608,8.874582345357261,-24.1739894265809,-15.150774999671267,-7.441495431466158,15.918708803129535,-7.807581400136609,-6.9602746015313155,-8.116055466937624,-5.5533134562500965,-19.290350460133396,2.2414260600587474,-5.339252665909398,-11.282436415510334,16.54458222736181,3.3820465621808156,10.425995943792842,4.566700224024726,2.830510969130202,2.95387827864812
17,-26.478739760688796,-47.93514051153645,11.857260289826316,49.400196305203686,-17.577415458985254,8.532945588555176,-34.737053685667995,5.5725557512096096,-8.315857758055376,-2.157276606508164,-27.18012073442143,-31.186493549551596,-25.168691174284902,-15.388333390780215,-11.418510709695605,5.544451621913762,5.864532782579769,6.134561859332248,-29.457437352443794,24.426057803198095,-24.432658119908663,1.5091693608984302,-14.510056237402686,-12.634412069831544,-20.18779390341806,6.757033065153437,-6.820262193087764,-9.289190908002094,1.4962619646507485,-3.39624855967861,-12.669485457844042,3.681784921801448,-5.390700919654872,4.379555715914914,27.70584316087477,0.32663457529779444
